g	r	i	z	side
0.091631062979329	0.0531024773887432	0.0287317775502138	0.0247627078292873	1
0.119754508530068	0.075518227171053	0.0429071390162469	0.043104948265029	1
0.0838902170086402	0.0453090571622578	0.0198304081188694	0.0153627178751382	1
0.10888783392962	0.0702124010390832	0.0381829174903885	0.0326871052055272	1
0.151421907827855	0.0952399728450218	0.0615423155699788	0.0574979670866535	1
0.200261332900574	0.127106746073173	0.082383804148216	0.0687576960901115	1
0.0932836711943048	0.0493714981672901	0.0244148192294122	0.022395039791493	1
0.125515009957342	0.0767880707419035	0.044712639378944	0.0409049678449435	1
0.171017709810217	0.11253320367357	0.0734418059698766	0.066068557723133	1
0.232032417126595	0.157812359624306	0.103496575647997	0.0955145484863171	1
0.0963391015341422	0.0546867003499432	0.0271647125902768	0.025098614358428	1
0.148930550394928	0.0870801575141644	0.0520418162034216	0.0484695363357797	1
0.199060905722525	0.12920450200755	0.0818339297571481	0.0766637945131745	1
0.283274660850831	0.186407731155709	0.125389754174257	0.114764455404243	1
0.390077829506389	0.250138421187837	0.17084244286932	0.15416413943922	1
0.0662290328981032	0.0317701837770127	0.0122776777568992	0.00477186759354952	1
0.0996179872367162	0.0593071512521282	0.0323707767897323	0.0283027681770389	1
0.156526789799771	0.093220168023879	0.056951717880233	0.054390956400665	1
0.211866773216004	0.138620151691989	0.0861015181346315	0.0821963124674759	1
0.316838375547742	0.202470543458808	0.13660139676093	0.11814677171662	1
0.443614778354383	0.2862390399957	0.18967939834955	0.163884867194018	1
0.0710634226634581	0.0351955586416467	0.0120073730744065	0.0102797002613949	1
0.109058277408047	0.0633064938460648	0.0313129010297066	0.0281813972309053	1
0.161816648127142	0.09912230814721	0.0594068818348561	0.0545526798944745	1
0.238219574623453	0.149486632267947	0.0965856375765769	0.0854294199623119	1
0.340984660286265	0.212596351043388	0.146555356366773	0.127970416207796	1
0.459988576907018	0.299722446130767	0.206055904383596	0.181853065769079	1
0.555718280939073	0.366764055489783	0.259874754231419	0.233805735385088	1
0.0732109935570289	0.0361806680346805	0.0145403282105452	0.00701023219061961	1
0.11369029664656	0.0625339972681603	0.0328183871832323	0.0261422629911497	1
0.164546617112885	0.0994631147189011	0.0602387063065076	0.0503895404709325	1
0.235300912062306	0.157947602009831	0.0991109364396317	0.0828618461831045	1
0.35437832108368	0.229778478978112	0.15122493348086	0.129441297720002	1
0.478704529554275	0.320191075211544	0.220412014856526	0.180015226317475	1
0.571639006458148	0.386930010842579	0.274642718281341	0.23309983845694	1
0.0717805625471682	0.0377735079593467	0.0181296084846442	0.00454418181680816	1
0.1102050317816	0.0618782072579061	0.036955221008205	0.0275272903757355	1
0.162643307039416	0.097768985778246	0.0644763076821725	0.0488902529475756	1
0.240854611062538	0.149759130913984	0.0983409165203381	0.0830298280436054	1
0.35621893604848	0.225839721271338	0.152183474209994	0.130340667098381	1
0.483521459819219	0.315733042472205	0.222611143744217	0.191720770531219	1
0.590085038762197	0.397829757668687	0.282486838511121	0.239184471709109	1
0.64429839198585	0.411042668418675	0.304416720921914	0.272565477491139	1
0.0722632603593534	0.036973624405172	0.0158320450868798	0.0072992072976772	1
0.10543727494525	0.0593873483873882	0.033504757070771	0.0244243830206403	1
0.150817493230011	0.0918186279078361	0.0609234895831777	0.049282705454423	1
0.230692989698682	0.145876766706952	0.0876621202244916	0.0794190392548133	1
0.33832893900615	0.21923320806015	0.145283482751199	0.119765174458855	1
0.478457957949644	0.312407527314925	0.215281023944388	0.184119570149567	1
0.582415861344326	0.393951549448507	0.29410688024095	0.249155001479375	1
0.602310761665071	0.428278820739185	0.321825073338154	0.28426556753967	1
0.0669535695957783	0.0362023796901496	0.0124087069450292	0.00473504544687373	1
0.10474013525638	0.0573564722616922	0.0313520324407945	0.0194303030344873	1
0.153645327607534	0.0860086218943008	0.0552171457362624	0.0446116619700447	1
0.219061410889327	0.133832315395256	0.0894386549320119	0.071139675735823	1
0.318545230388331	0.207785799039694	0.14064172780088	0.118244948636213	1
0.451985077245432	0.295698811635716	0.20655522500375	0.182667208988067	1
0.565375308699333	0.390623576057376	0.288211574466627	0.246239094480827	1
0.626939138453814	0.451958564330624	0.339541515073574	0.292032153710905	1
0.0692713533683609	0.03343309124007	0.010994930379232	0.0	1
0.096041692783537	0.0503297524145007	0.0281364407204071	0.0180541049748973	1
0.136281282294464	0.0856128687603283	0.0514904308080394	0.0390528668746182	1
0.208952762699343	0.134141458174046	0.0853638670954183	0.0697650717111575	1
0.289308230722831	0.196959989943731	0.131274993964919	0.114119722231673	1
0.417828732101107	0.275265248800702	0.198249462068034	0.173446483639459	1
0.547373615586624	0.372352630529426	0.280600499907182	0.241506083795493	1
0.629498237318597	0.450327987793104	0.343591477456934	0.30522907995315	1
0.642599325553021	0.495243188996619	0.386973720120981	0.353480330414429	1
0.0658221357670002	0.0274599016048222	0.00800613974356371	0.00151993492459651	1
0.0904410253891555	0.0468874281850556	0.0251598742625569	0.0180567659474827	1
0.12958362368555	0.0798388671006939	0.0485514754277141	0.0379632473901875	1
0.194341754192188	0.120263592244558	0.0816873449673115	0.0625362761648461	1
0.275756636422199	0.177087415366997	0.127120196060248	0.104938587018358	1
0.384468041675736	0.254674800025626	0.184204747720636	0.156054009957789	1
0.514017436441112	0.359012145902316	0.260377349750848	0.230927646337117	1
0.6377521658606	0.446195659399708	0.345923470258763	0.307561541021821	1
0.68331934718709	0.522218606240775	0.420269249549567	0.380760936687522	1
0.0920537148216442	0.0425180363472527	0.020642172076626	0.0147300939338328	1
0.128718538107496	0.0711780678374579	0.0404128496590989	0.0310290131273873	1
0.178025489403794	0.10817116647088	0.071407197097212	0.0514581818697271	1
0.271662347528641	0.165814169158712	0.10998494529639	0.0892817125013864	1
0.366875492806492	0.236789421157836	0.170656000593699	0.143929483829868	1
0.487640267625485	0.33034505399741	0.251265336070975	0.216658217059431	1
0.621381843542271	0.437120529227443	0.344947221607441	0.303086325789468	1
0.720046528265842	0.544243089366227	0.439145643874574	0.391695879485712	1
0.758112528488756	0.630379199430884	0.523302997618311	0.483385158077258	1
0.0852170378287993	0.0397570711184947	0.0150796981320929	0.00966286457702598	1
0.115747276704604	0.0637111697530542	0.0352468646823044	0.0275470620362264	1
0.168197351173504	0.0940106273346802	0.0638385261148426	0.0489251102927856	1
0.240779216661553	0.141575453593659	0.100219153029319	0.0790988268069044	1
0.332346440710048	0.213815701362931	0.154455636762457	0.130052764074908	1
0.455773606254797	0.310162782157275	0.226714249266019	0.199063155568748	1
0.598943989444367	0.427182868872986	0.325172934179843	0.285400480933633	1
0.720485465248174	0.556034321038525	0.439334709882487	0.393953704650131	1
0.814056450411967	0.672089291919869	0.549378340769762	0.513209239811635	1
0.0717866825617134	0.0346723699989247	0.0119232806966737	0.00202589944502119	1
0.0963183980447427	0.0534367282376163	0.030762706226104	0.023735222227785	1
0.150533202469047	0.0868091319461236	0.053622367348092	0.0441211222367515	1
0.217969754926785	0.131131857186307	0.0878582762394327	0.0706238821827561	1
0.30414402943477	0.193575952372098	0.139453662838274	0.120638969240551	1
0.422907295631039	0.276407228609261	0.204052081638963	0.183001365283609	1
0.575015190111843	0.389025977035587	0.299037266940005	0.264456800493249	1
0.7065227716571	0.520565285280831	0.40791696972818	0.373655674968736	1
0.820894481637551	0.66619329922221	0.534582769165625	0.495924620976167	1
0.901884077416565	0.811902459151655	0.6766266202538	0.642237503243225	1
0.0590629100834392	0.0264812963252152	0.00877604381939179	0.00304094751098103	1
0.0857431967863144	0.0490212599983365	0.0245078344744442	0.0191538686608394	1
0.126737134880342	0.0759501808228058	0.0464095379234166	0.0399684546022233	1
0.18654956892329	0.112529675051624	0.0770333356484072	0.0627458001931602	1
0.265935932242627	0.163919718078517	0.122171797672738	0.0998393524814492	1
0.377100758730349	0.246756948175782	0.175511531119013	0.154235820683207	1
0.515388062716714	0.354950488062391	0.264999965798501	0.235079495109971	1
0.66110462636644	0.481237673060241	0.375468481740349	0.32618598086866	1
0.796954842092725	0.621603281807686	0.502448606013304	0.462063374039527	1
0.880004152129681	0.754616553588878	0.630748479193363	0.607899525851774	1
0.0774580931406315	0.0435344009401084	0.0151315055669893	0.0120416088215438	1
0.107465297032681	0.069350738988843	0.0361561454022133	0.030112091832562	1
0.163730921795213	0.0988291029453172	0.0650009205904005	0.0512004531486805	1
0.23098365049326	0.144473192080667	0.103500137831132	0.0900526026025471	1
0.324123123291544	0.211983331071118	0.153117930343956	0.137751778800753	1
0.446568186838561	0.298733139286893	0.223614152047595	0.195819791675431	1
0.589919543054982	0.422698468509646	0.32281566758582	0.27575324577386	1
0.740303139451679	0.561891793717153	0.438540690548274	0.397042420617979	1
0.828073874379281	0.67691811380343	0.550522014132113	0.511328625236441	1
0.0642143959778071	0.0319738917084911	0.00986876176242612	0.00518387982153827	1
0.0952390230838345	0.055765404942601	0.0291438110983752	0.0289136931900896	1
0.137297502257214	0.0823700001354045	0.0511817129893904	0.0390090995546004	1
0.1867447275543	0.123739742202747	0.0844569474751025	0.069659127174797	1
0.273590353630205	0.179458281090251	0.123854583539582	0.115575070727551	1
0.384574408213932	0.254188268367652	0.185400232355171	0.151306332812347	1
0.51837945638424	0.357799359650232	0.272044547183746	0.229086361859842	1
0.658598904594879	0.480204065326476	0.374420192688108	0.336093335861594	1
0.771069033649196	0.595554814810806	0.472623883237874	0.434744977365372	1
0.821475676245253	0.680783126182154	0.557816524124116	0.53078805512239	1
0.0826569968784868	0.038660476902407	0.0189738666249484	0.00958456342172192	1
0.117041219152663	0.0670045847596637	0.0369397400755901	0.0307024509645576	1
0.162325752884567	0.0995129201211287	0.0620555665673569	0.051298769063804	1
0.225305337976415	0.145839815476701	0.101355021090116	0.086556039088685	1
0.305115982016184	0.20647860429077	0.150291197964098	0.127629900080284	1
0.440420744286587	0.299620741866366	0.218352851860292	0.187422712278875	1
0.566151078727887	0.405912425085181	0.303166538170973	0.27011720044923	1
0.707051862533975	0.523510298406551	0.396287563480056	0.357155609118747	1
0.767856563045518	0.611914136771273	0.474439174318191	0.438871652596428	1
0.0680170002435245	0.026322204590214	0.00981015996438892	0.00503416690530083	1
0.0915072681671327	0.0528664108766616	0.0231243281347769	0.0198533045807482	1
0.128331288079113	0.0794254129246443	0.0475603654983191	0.0354212342897439	1
0.191591323596422	0.120010226944996	0.0795539246805909	0.0688344409948604	1
0.259180166717705	0.173017224516274	0.117572729242895	0.103450052383026	1
0.366898938907105	0.247836564359353	0.179556822850677	0.153092986617221	1
0.480616175428978	0.331425617466252	0.242370150406839	0.210947982008333	1
0.611560675315645	0.432692666216413	0.328718098245493	0.288000708706731	1
0.68441639108284	0.516519697900465	0.397198037018612	0.357416288868884	1
0.694598495187995	0.546825111432768	0.44078759561063	0.404040516304489	1
0.0740581734727533	0.0394892854249272	0.0171024375095889	0.00962271458305993	1
0.106996858982161	0.0582565825856786	0.0364645354007975	0.0259425954352724	1
0.152629908140466	0.093517419547463	0.0608069810707989	0.0532497689348632	1
0.211372225293991	0.14209669015378	0.0938285329349443	0.0853995993300906	1
0.291525904169246	0.200054263375092	0.140732558234706	0.12505376399363	1
0.392375470940817	0.260906357501706	0.191627444260426	0.17051678752203	1
0.501690016734731	0.349044965197159	0.257692736428211	0.231536008942416	1
0.574951406773528	0.414230733118675	0.323406656206888	0.289498646886879	1
0.607283204553968	0.458610747466327	0.37241265158996	0.330145474818208	1
0.0921225636503861	0.0475490317705627	0.0240495455474246	0.022274747233868	1
0.126173834837978	0.0731597184518388	0.0471493838105499	0.0312192882016466	1
0.180226539590242	0.109651528921253	0.073973076083823	0.0620289351545456	1
0.23385253741313	0.153702682358558	0.10790355375509	0.093856427225396	1
0.31380690202579	0.20394290898337	0.150887681642842	0.131938122324133	1
0.388190660173774	0.268291407603131	0.200142038939985	0.180283854479979	1
0.451245248841214	0.319358534317446	0.249169646854843	0.218879138773203	1
0.494060541920692	0.368923570499277	0.290784651045139	0.260433174898545	1
0.449990564520631	0.364328189898799	0.299163245898721	0.271873027227797	1
0.0740506244711611	0.035737591722812	0.0116626649492881	0.0100656581828762	1
0.0960684291496438	0.0533698954138571	0.0283681731138444	0.0236712969602972	1
0.144750727920634	0.0838694483686613	0.0527343312080366	0.0440354912349983	1
0.180586974996939	0.115148679894677	0.0785661932332377	0.0684887523677287	1
0.244998195256293	0.158996992298462	0.111522722524747	0.099357622936438	1
0.292036639054373	0.204949963657196	0.148149005061252	0.131674315184405	1
0.340267430678639	0.240986112669917	0.185390560426057	0.166264543057319	1
0.354951227981816	0.268737678915591	0.216047867202114	0.196211134786955	1
0.346226653705496	0.27840825210723	0.22366189038873	0.207517371199046	1
0.0798101474855242	0.0388910705157441	0.0157062696535391	0.00877532137505985	1
0.114102362481708	0.0646281306272297	0.0348358047155604	0.0288562593532028	1
0.147093336803984	0.0934029856274779	0.0542135035863443	0.0465845570915198	1
0.181628124510331	0.11921265154844	0.0808056119742952	0.0665833404245667	1
0.216545551495875	0.147653095313826	0.105418565326184	0.0903361509243358	1
0.252070094379233	0.17833681145521	0.130613218894399	0.119871055732675	1
0.260236363751146	0.199561870662247	0.151750334834681	0.139595857792241	1
0.264544489812087	0.211067591553886	0.166501833074984	0.161643490673124	1
0.231495005488735	0.208517959117535	0.169693060841144	0.154865178023413	1
0.0861206795490744	0.0447788527363077	0.0213083060027207	0.0151436726710428	1
0.111777386170041	0.0653265816372991	0.0361231244934846	0.0363072787802456	1
0.144075249578716	0.0865092315160795	0.0560569461185633	0.0432353852234647	1
0.168348595506793	0.105070170021818	0.075449197120303	0.0608172183170519	1
0.186552800019528	0.127070402713843	0.0918539262408398	0.0823570480549739	1
0.194892961560313	0.140841756709073	0.106927439936421	0.104851915024288	1
0.199021667760465	0.156679729896374	0.122230348990746	0.120506595137492	1
0.190035766934662	0.166120315838333	0.12631624847118	0.129664543939764	1
0.0860856036604843	0.0431561135774595	0.0207545728441344	0.0108665146780535	1
0.103873616625421	0.0601145391793553	0.0363779142322319	0.0269259853446462	1
0.123512701714841	0.0776334448449244	0.0520754580121954	0.0410627530055541	1
0.13998858452409	0.0933350960176111	0.0668052473066646	0.0574412567976329	1
0.149578544107306	0.103516100017023	0.075270759157924	0.0695530010930887	1
0.147561647420417	0.117706142762357	0.0887978408839297	0.0869880702245534	1
0.152442613015135	0.124404671391344	0.0967965520093661	0.0923403571030326	1
0.0799987372798735	0.0393846972827503	0.0174750287968233	0.013638709598938	1
0.095197771355857	0.0558481398322715	0.0318580084076598	0.0245628683037777	1
0.1059202611148	0.0710972431769589	0.0434436273708583	0.0391887656032322	1
0.114850141417292	0.0780764995864508	0.0525870391046687	0.0476672372401136	1
0.122592746576403	0.0879338405321157	0.0640491670957889	0.0573100351389706	1
0.128455020297945	0.0925161085899487	0.0746727060275725	0.0684486047938764	1
0.12038261252437	0.102722693047728	0.0828460218108054	0.0881633284489463	1
0.0782150085111965	0.0506940284197087	0.0295696476355112	0.0234762711384248	1
0.0901026767673009	0.0574859674915323	0.0356320274350551	0.0316009455945435	1
0.0901665904675107	0.0633739882917225	0.041935823625284	0.0436077388005584	1
0.100114195235826	0.0739337416593079	0.0549023329123133	0.0497757044591746	1
0.104410181690309	0.0831545746291295	0.0662315333227251	0.0587196362577518	1
0.114296284980037	0.0742898208884642	0.0444559833252998	0.0435533497707271	0
0.142195927490119	0.096251369878583	0.0634334735260522	0.0607820446257411	0
0.179223017491403	0.116884869866679	0.0795403384520667	0.0692059687604727	0
0.199111654822952	0.121783402939634	0.0848371954062444	0.0732688565858624	0
0.173288537517306	0.109826116668097	0.0727386103145399	0.0658565448330634	0
0.156723210046807	0.0975374193016598	0.0627360174268461	0.0567630715924502	0
0.188631745672341	0.128662496042372	0.08618024959394	0.072706902661478	0
0.243023936397113	0.164304634549931	0.115686282022632	0.100683163437746	0
0.278146577492019	0.185207313839186	0.128152933638056	0.122099454446921	0
0.269786681299577	0.176845956307567	0.122605134978365	0.115901792107396	0
0.225022130360236	0.140225527610508	0.0943569307790611	0.087654724363026	0
0.139541512760821	0.0839129457097787	0.052634690572004	0.0550330044344132	0
0.256192227526468	0.165192041087516	0.11383008710447	0.0918761058850316	0
0.321221681098414	0.211420815823977	0.150498446502266	0.123923144321043	0
0.372142556265081	0.249927850031398	0.175880150507765	0.150480218263127	0
0.388642568572038	0.250742238302814	0.177027874642902	0.163147660601762	0
0.341943900893355	0.214046587418451	0.152089683995176	0.143192348456782	0
0.216555710459929	0.137976539121507	0.103472809691664	0.0954653330532846	0
0.128277759372326	0.0718490342612866	0.0484710051286397	0.0540369073745861	0
0.328938276091758	0.209460497935185	0.141702390594164	0.131387951325874	0
0.400664360504281	0.265981196101646	0.184804353420397	0.160138399394131	0
0.481471558262137	0.313622624163537	0.222391097884028	0.193342402677877	0
0.496547318464183	0.320839070604613	0.230105523442295	0.197280710959002	0
0.429526031644219	0.283565067305082	0.20134259083894	0.184349052433612	0
0.307856404807683	0.200550234102052	0.145457505796623	0.131354545165686	0
0.192284462913474	0.122703945223199	0.0863295196865283	0.0822866749598928	0
0.0965603345099248	0.0580200926030857	0.0350518045645928	0.0435359972718486	0
0.48816429248584	0.313831748575271	0.222115896402218	0.192095644281235	0
0.561561915227508	0.368391386091679	0.257948765268761	0.219998508392767	0
0.574642053644164	0.377668798148892	0.264493760544742	0.226081905948734	0
0.504516727259407	0.331315840468642	0.233432520079206	0.209158270563491	0
0.386549255663785	0.251152350771671	0.178123331740878	0.160448519601076	0
0.25159960042481	0.172364897908888	0.116216688032688	0.11348928263728	0
0.149434270372691	0.102911013619222	0.0638223279591129	0.0720655043538609	0
0.0870446751068132	0.0565511988100003	0.0331716873405499	0.0420041420163514	0
