r,i,z,y,side
0.01881820149719715,0.014899948611855507,0.017919939011335373,0.018203526735305786,1
0.014954679645597935,0.013893039897084236,0.012512381188571453,0.019853724166750908,1
0.015384222380816936,0.011317270807921886,0.01337217353284359,0.0025757281109690666,0
0.012855342589318752,0.005892449524253607,0.014602546580135822,0.014552181586623192,0
0.010795795358717442,0.006882662884891033,0.008415812626481056,0.025263682007789612,0
0.007684227079153061,0.006854118779301643,0.016826238483190536,0.015771163627505302,0
0.020366063341498375,0.014334932900965214,0.02290770784020424,0.012808404862880707,1
0.02200080268085003,0.01560243871062994,0.017320914193987846,0.02438177540898323,1
0.021230263635516167,0.01698601059615612,0.02065523900091648,0.025796156376600266,1
0.0206642784178257,0.012765105813741684,0.012634404934942722,0.016695229336619377,1
0.018639983609318733,0.01161644421517849,0.02105257846415043,0.008049169555306435,0
0.015163806267082691,0.008544396609067917,0.012350107543170452,0.010793102905154228,0
0.011125423945486546,0.011029839515686035,0.013859040103852749,0.013896710239350796,0
0.008833282627165318,0.005399476736783981,0.014602546580135822,0.009150813333690166,0
0.010171406902372837,0.00815348606556654,0.0115159060806036,0.0,0
0.00927228294312954,0.008868960663676262,0.012654769234359264,0.014986666850745678,0
0.009895251132547855,0.0017100698314607143,0.009107114747166634,0.011830107308924198,0
0.022236179560422897,0.016693424433469772,0.027203930541872978,0.022606369107961655,1
0.020860079675912857,0.014270065352320671,0.02605682983994484,0.022807765752077103,1
0.022083094343543053,0.019562499597668648,0.024432988837361336,0.01625785604119301,1
0.023019134998321533,0.014976409263908863,0.022403007373213768,0.024625539779663086,1
0.02354646660387516,0.02012784406542778,0.021322758868336678,0.017525862902402878,1
0.020641300827264786,0.017087601125240326,0.014455165714025497,0.025995377451181412,1
0.0157746821641922,0.01637980341911316,0.016389934346079826,0.02219373546540737,0
0.01506960391998291,0.013177672401070595,0.02065523900091648,0.021411443129181862,0
0.015468427911400795,0.010591160506010056,0.021653221920132637,0.007831801660358906,0
0.010056951083242893,0.008731036446988583,0.016924846917390823,0.004543151240795851,0
0.012604750692844391,0.0077169667929410934,0.01121748797595501,0.0031673244666308165,0
0.012855342589318752,0.010988899506628513,0.009856040589511395,0.01860067993402481,0
0.01365489512681961,0.009334438480436802,0.008954804390668869,0.019000550732016563,0
0.00959224533289671,0.004856018349528313,0.013485747389495373,0.008276631124317646,0
0.02317448891699314,0.013925263658165932,0.023513630032539368,0.02689947932958603,1
0.02134641259908676,0.019106654450297356,0.019649764522910118,0.02193576470017433,1
0.02379966713488102,0.017928972840309143,0.025015609338879585,0.03200377896428108,1
0.025811465457081795,0.020210666581988335,0.02954249456524849,0.015205209143459797,1
0.022959481924772263,0.019915295764803886,0.024174297228455544,0.022712906822562218,1
0.022792743518948555,0.02106863632798195,0.024395974352955818,0.02478448860347271,1
0.025500796735286713,0.0195742417126894,0.017586421221494675,0.01858961209654808,1
0.01953638717532158,0.01814676634967327,0.01722165197134018,0.015466507524251938,0
0.01643501967191696,0.016514021903276443,0.01970711350440979,0.019785920158028603,0
0.01694069802761078,0.011101575568318367,0.015569722279906273,0.01418249774724245,0
0.014808746986091137,0.013796459883451462,0.02267891727387905,0.02157408557832241,0
0.016253208741545677,0.012355329468846321,0.005376931745558977,0.009271658025681973,0
0.012744937092065811,0.012838945724070072,0.019329547882080078,0.011849693953990936,0
0.01282520405948162,0.010438905097544193,0.02442065253853798,0.018989406526088715,0
0.010133231058716774,0.00996439903974533,0.020876966416835785,0.013551702722907066,0
0.010689600370824337,0.009066573344171047,0.011336663737893105,0.013138595037162304,0
0.008315211161971092,0.00465479725971818,0.0,0.01306837797164917,0
0.023414215072989464,0.018296202644705772,0.021275687962770462,0.021725503727793694,1
0.02483471669256687,0.019785713404417038,0.023197848349809647,0.024235963821411133,1
0.024932973086833954,0.023770425468683243,0.027396978810429573,0.019492993131279945,1
0.025724319741129875,0.017586572095751762,0.028044261038303375,0.02589568682014942,1
0.02737383171916008,0.016078844666481018,0.02445768192410469,0.032811421900987625,1
0.027424825355410576,0.020364785566926003,0.02139342948794365,0.01875586062669754,1
0.02552560716867447,0.02053116075694561,0.026120061054825783,0.030202751979231834,1
0.028855308890342712,0.019258270040154457,0.02190219983458519,0.030136436223983765,1
0.026186157017946243,0.016828292980790138,0.016979701817035675,0.02882317453622818,0
0.026298973709344864,0.016390986740589142,0.021346306428313255,0.024442629888653755,0
0.020366063341498375,0.015316112898290157,0.019867977127432823,0.020114343613386154,0
0.018185727298259735,0.013914510607719421,0.02006387524306774,0.02311706356704235,0
0.01884051412343979,0.012428668327629566,0.020527226850390434,0.023463847115635872,0
0.015216215513646603,0.01659245230257511,0.022702964022755623,0.017601970583200455,0
0.018218854442238808,0.012397222220897675,0.024260418489575386,0.017103631049394608,0
0.015059138648211956,0.010459188371896744,0.02954249456524849,0.021947473287582397,0
0.01642431877553463,0.009185468778014183,0.020214082673192024,0.02233489602804184,0
0.012554778717458248,0.006107806693762541,0.010088649578392506,0.014831099659204483,0
0.008333621546626091,0.0036422940902411938,0.006063247099518776,0.008532656356692314,0
0.023126652464270592,0.017076309770345688,0.026704534888267517,0.022736618295311928,1
0.02689119055867195,0.018688617274165154,0.03492601215839386,0.03482109680771828,1
0.021486060693860054,0.020721761509776115,0.02788836695253849,0.01725485362112522,1
0.026011032983660698,0.022866442799568176,0.032041557133197784,0.029673947021365166,1
0.022472413256764412,0.021284813061356544,0.024260418489575386,0.026672305539250374,1
0.022721413522958755,0.022915683686733246,0.01161574013531208,0.03534640371799469,1
0.02773161418735981,0.02124873921275139,0.023672079667448997,0.0293192807585001,1
0.02677738480269909,0.017031151801347733,0.02145237848162651,0.02826610766351223,1
0.02439434453845024,0.019083373248577118,0.03494028002023697,0.03369782865047455,1
0.023150548338890076,0.018238669261336327,0.02267891727387905,0.031501878052949905,0
0.023654868826270103,0.02167082577943802,0.02746143750846386,0.025870785117149353,0
0.02155601605772972,0.019891701638698578,0.024002375081181526,0.023057466372847557,0
0.020572366192936897,0.017974769696593285,0.015666253864765167,0.018911460414528847,0
0.023414215072989464,0.017257284373044968,0.023137297481298447,0.029858581721782684,0
0.019468696787953377,0.02056686021387577,0.029502669349312782,0.0312994122505188,0
0.01887400820851326,0.015624508261680603,0.020387867465615273,0.03424328193068504,0
0.02048058994114399,0.011948327533900738,0.020795190706849098,0.006592066492885351,0
0.018684500828385353,0.008839378133416176,0.02239104174077511,0.014131354168057442,0
0.009876261465251446,0.00893804058432579,0.02160590887069702,0.016577551141381264,0
0.007367241196334362,0.006987452507019043,0.018266525119543076,0.01195752713829279,0
0.009281658567488194,0.006901702377945185,0.017864229157567024,0.014903646893799305,0
0.023294255137443542,0.02029361203312874,0.02907918021082878,0.03617735952138901,1
0.02906397543847561,0.022278286516666412,0.027474336326122284,0.03253663331270218,1
0.02411452867090702,0.0231500044465065,0.025377603247761726,0.02157408557832241,1
0.028026927262544632,0.02174343727529049,0.03008905053138733,0.029713472351431847,1
0.02720830962061882,0.021525828167796135,0.02809629961848259,0.027534635737538338,1
0.02593611553311348,0.02120065502822399,0.019340956583619118,0.03121859021484852,1
0.027233758941292763,0.02486293949186802,0.029237696900963783,0.019639281556010246,1
0.02508062683045864,0.022620759904384613,0.024137424305081367,0.03146135061979294,1
0.02552560716867447,0.02515452727675438,0.029861923307180405,0.03691563382744789,1
0.02481015957891941,0.023224197328090668,0.02086527645587921,0.038384176790714264,0
0.023510361090302467,0.023745514452457428,0.022044895216822624,0.032591499388217926,0
0.02462640032172203,0.02308826893568039,0.021594084799289703,0.02493155002593994,0
0.021160699427127838,0.023521624505519867,0.023830905556678772,0.01992160640656948,0
0.026487400755286217,0.02069791592657566,0.02149958163499832,0.03282519057393074,0
0.023330220952630043,0.023273659870028496,0.03614835813641548,0.028369400650262833,0
0.01869562268257141,0.021828260272741318,0.02792731299996376,0.02930617891252041,0
0.018263040110468864,0.01681704819202423,0.023440629243850708,0.020478852093219757,0
0.020503534004092216,0.015195359475910664,0.017431404441595078,0.01626848243176937,0
0.014321621507406235,0.014616801403462887,0.025127749890089035,0.021947473287582397,0
0.013767161406576633,0.013411649502813816,0.023319121450185776,0.01956046372652054,0
0.01396162062883377,0.00853459071367979,0.01615133136510849,0.01564488746225834,0
0.008434996008872986,0.00447253929451108,0.015569722279906273,0.005264407955110073,0
0.025376956909894943,0.0184344332665205,0.01881837472319603,0.0268868375569582,1
0.023896386846899986,0.023211821913719177,0.03348416090011597,0.024564508348703384,1
0.02715747244656086,0.02399509772658348,0.026246702298521996,0.019403155893087387,1
0.025265686213970184,0.023770425468683243,0.03280103951692581,0.027764782309532166,1
0.028647297993302345,0.02310062386095524,0.02975529246032238,0.02589568682014942,1
0.02490837872028351,0.024358579888939857,0.028618818148970604,0.019033992663025856,1
0.025105278939008713,0.022119833156466484,0.01888628490269184,0.028201628476381302,1
0.028634313493967056,0.02519264817237854,0.028396286070346832,0.03147486597299576,1
0.027552476152777672,0.02457248978316784,0.0318494588136673,0.0426635667681694,1
0.028014054521918297,0.030854789540171623,0.04003838077187538,0.029279977083206177,1
